Code,Year,Return,Industry
1,2014,0.57298,貨幣金融服務
2,2014,0.827567,房地產業
4,2014,0.336481,醫藥製造業
5,2014,0.64,房地產業
6,2014,0.477997,房地產業
7,2014,0.051873,住宿業
8,2014,1.454444,住宿業
9,2014,0.64885,綜合
10,2014,-0.035202,專用設備製造業
11,2014,0.327072,房地產業
12,2014,0.137579,非金屬礦物製品業
14,2014,0.347308,房地產業
16,2014,0.555663,計算機、通信和其他電子設備製造業
17,2014,0.565909,鐵路、船舶、航空航天和其他運輸設備製造業
18,2014,1.685475,紡織業
19,2014,0.21581,酒、飲料和精製茶製造業
20,2014,0.225954,計算機、通信和其他電子設備製造業
21,2014,0.371591,計算機、通信和其他電子設備製造業
22,2014,0.457883,水上運輸業
23,2014,1.025533,非金屬礦物製品業
24,2014,0.960272,房地產業
25,2014,0.143508,批發業
26,2014,0.404242,零售業
27,2014,1.119352,電力、熱力生產和供應業
28,2014,0.035577,批發業
29,2014,0.831999,房地產業
30,2014,0.411348,其他製造業
31,2014,1.301052,房地產業
32,2014,0.27269,計算機、通信和其他電子設備製造業
33,2014,0.292746,住宿業
34,2014,0.624703,綜合
35,2014,0.185741,計算機、通信和其他電子設備製造業
36,2014,0.576389,房地產業
37,2014,0.837772,電力、熱力生產和供應業
38,2014,0.368,房地產業
39,2014,0.500029,金屬製品業
40,2014,0.583556,房地產業
42,2014,0.213525,房地產業
43,2014,0.530574,房地產業
45,2014,0.17875,批發業
46,2014,1.278107,房地產業
48,2014,-0.048605,農副食品加工業
49,2014,-0.354271,電氣機械和器材製造業
50,2014,0.706161,計算機、通信和其他電子設備製造業
55,2014,0.808353,金屬製品業
56,2014,-0.149592,房地產業
58,2014,0.407408,商務服務業
59,2014,0.973947,石油加工、煉焦和核燃料加工業
60,2014,0.519328,有色金屬冶煉和壓延加工業
61,2014,0.564068,商務服務業
62,2014,0.30762,商務服務業
63,2014,0.384893,計算機、通信和其他電子設備製造業
65,2014,0.63149,土木工程建築業
66,2014,0.511874,計算機、通信和其他電子設備製造業
68,2014,0.586208,計算機、通信和其他電子設備製造業
69,2014,0.57959,公共設施管理業
70,2014,0.084976,電氣機械和器材製造業
78,2014,0.29404,零售業
88,2014,0.643878,道路運輸業
89,2014,0.35196,航空運輸業
90,2014,1.11249,土木工程建築業
96,2014,0.499199,批發業
99,2014,0.637784,航空運輸業
100,2014,0.669275,計算機、通信和其他電子設備製造業
150,2014,2.208104,房地產業
151,2014,1.692253,批發業
153,2014,0.579284,醫藥製造業
155,2014,1.189273,化學原料和化學製品製造業
156,2014,0.206226,廣播、電視、電影和影視錄音製作業
157,2014,0.33711,專用設備製造業
158,2014,1.316426,紡織業
159,2014,0.412153,批發業
301,2014,0.613762,電力、熱力生產和供應業
333,2014,0.435554,電氣機械和器材製造業
338,2014,0.454369,汽車製造業
400,2014,-0.017296,電氣機械和器材製造業
401,2014,0.559363,非金屬礦物製品業
402,2014,1.459522,房地產業
403,2014,0.132316,醫藥製造業
404,2014,0.321429,通用設備製造業
407,2014,0.126374,化學原料和化學製品製造業
408,2014,0.770519,批發業
409,2014,-0.209465,黑色金屬礦採選業
410,2014,1.156627,通用設備製造業
411,2014,1.010347,批發業
413,2014,0.359125,計算機、通信和其他電子設備製造業
415,2014,0.762895,租賃業
416,2014,0.208211,零售業
417,2014,0.36847,零售業
418,2014,0.336861,電氣機械和器材製造業
419,2014,0.253336,零售業
420,2014,0.634921,化學纖維製造業
421,2014,0.595208,綜合
422,2014,0.196888,化學原料和化學製品製造業
423,2014,-0.039285,醫藥製造業
425,2014,0.99629,專用設備製造業
426,2014,0.59892,有色金屬礦採選業
428,2014,-0.050577,住宿業
429,2014,0.720262,道路運輸業
430,2014,0.148725,公共設施管理業
488,2014,0.409767,造紙和紙製品業
498,2014,0.148515,土木工程建築業
501,2014,0.239812,零售業
502,2014,0.486614,房地產業
503,2014,0.496651,互聯網和相關服務
504,2014,0.196309,新聞和出版業
505,2014,1.112676,房地產業
506,2014,0.528677,房地產業
507,2014,0.665791,水上運輸業
509,2014,0.209136,橡膠和塑料製品業
510,2014,0.028143,化學原料和化學製品製造業
511,2014,1.057644,房地產業
513,2014,0.291191,醫藥製造業
514,2014,0.646102,房地產業
516,2014,1.080959,零售業
517,2014,0.560896,房地產業
518,2014,0.663636,醫藥製造業
519,2014,0.061355,非金屬礦物製品業
521,2014,0.336427,電氣機械和器材製造業
523,2014,0.082571,化學原料和化學製品製造業
524,2014,1.090575,住宿業
525,2014,0.061773,化學原料和化學製品製造業
526,2014,-0.003125,房地產業
528,2014,1.061517,專用設備製造業
529,2014,0.361991,農副食品加工業
530,2014,0.153555,通用設備製造業
531,2014,1.274186,電力、熱力生產和供應業
532,2014,0.026315,綜合
533,2014,0.471062,電氣機械和器材製造業
534,2014,0.741939,房地產業
536,2014,-0.151705,計算機、通信和其他電子設備製造業
537,2014,0.517544,房地產業
538,2014,-0.065891,醫藥製造業
539,2014,0.723882,電力、熱力生產和供應業
540,2014,1.15513,房地產業
541,2014,0.506224,電氣機械和器材製造業
543,2014,0.883547,電力、熱力生產和供應業
544,2014,0.107252,水的生產和供應業
545,2014,0.46047,化學原料和化學製品製造業
546,2014,0.259077,非金屬礦物製品業
547,2014,2.389003,計算機、通信和其他電子設備製造業
548,2014,0.469349,道路運輸業
550,2014,0.221882,汽車製造業
551,2014,0.066098,綜合
552,2014,0.020336,煤炭開採和洗選業
553,2014,0.196648,化學原料和化學製品製造業
554,2014,0.728745,批發業
555,2014,0.513365,軟件和信息技術服務業
557,2014,-0.097143,酒、飲料和精製茶製造業
558,2014,0.735465,房地產業
559,2014,1.712249,汽車製造業
560,2014,1.13738,零售業
561,2014,0.492308,計算機、通信和其他電子設備製造業
562,2014,2.752012,資本市場服務
563,2014,0.586617,其他金融業
564,2014,0.313343,零售業
565,2014,0.726994,化學原料和化學製品製造業
566,2014,0.367855,醫藥製造業
567,2014,0.475626,房地產業
568,2014,0.0804,酒、飲料和精製茶製造業
570,2014,0.342257,通用設備製造業
571,2014,0.344079,煤炭開採和洗選業
572,2014,0.386842,汽車製造業
573,2014,-0.050096,房地產業
576,2014,0.265969,造紙和紙製品業
581,2014,-0.118579,汽車製造業
582,2014,0.739002,水上運輸業
584,2014,0.138784,化學纖維製造業
585,2014,0.757582,電氣機械和器材製造業
586,2014,0.697674,計算機、通信和其他電子設備製造業
587,2014,-0.113252,其他製造業
589,2014,0.303399,橡膠和塑料製品業
590,2014,0.138054,醫藥製造業
591,2014,0.749571,零售業
592,2014,1.084976,林業
593,2014,0.135782,零售業
594,2014,-0.083832,批發業
595,2014,0.534971,通用設備製造業
596,2014,0.679061,酒、飲料和精製茶製造業
597,2014,0.525937,醫藥製造業
598,2014,0.332814,水的生產和供應業
599,2014,0.459668,橡膠和塑料製品業
600,2014,1.350226,電力、熱力生產和供應業
601,2014,0.341203,電力、熱力生產和供應業
603,2014,-0.048875,有色金屬礦採選業
605,2014,0.079315,醫藥製造業
606,2014,-0.040793,醫藥製造業
607,2014,1.437647,儀器儀表製造業
608,2014,-0.007814,房地產業
609,2014,0.97017,房地產業
610,2014,0.624232,公共設施管理業
611,2014,0.581986,紡織業
612,2014,0.732419,有色金屬冶煉和壓延加工業
613,2014,0.459402,住宿業
615,2014,0.479514,化學纖維製造業
616,2014,0.380416,房地產業
617,2014,0.347339,通用設備製造業
619,2014,0.390672,橡膠和塑料製品業
620,2014,0.364275,房地產業
622,2014,0.47165,專用設備製造業
623,2014,0.973123,醫藥製造業
625,2014,0.447262,汽車製造業
626,2014,0.687824,批發業
627,2014,0.564886,化學原料和化學製品製造業
628,2014,0.325191,房屋建築業
629,2014,0.685713,黑色金屬礦採選業
630,2014,0.561362,有色金屬冶煉和壓延加工業
631,2014,0.445665,房地產業
632,2014,0.213808,批發業
633,2014,0.98622,電氣機械和器材製造業
635,2014,0.312338,化學原料和化學製品製造業
636,2014,0.587814,計算機、通信和其他電子設備製造業
637,2014,0.370588,石油加工、煉焦和核燃料加工業
638,2014,0.507043,批發業
639,2014,-0.054604,農副食品加工業
650,2014,0.457941,醫藥製造業
651,2014,0.194447,電氣機械和器材製造業
652,2014,0.590836,批發業
655,2014,0.202965,黑色金屬礦採選業
656,2014,0.949937,房地產業
657,2014,0.387097,有色金屬冶煉和壓延加工業
659,2014,0.233813,橡膠和塑料製品業
661,2014,-0.198385,醫藥製造業
662,2014,0.123435,化學原料和化學製品製造業
663,2014,0.165074,林業
665,2014,0.281364,廣播、電視、電影和影視錄音製作業
666,2014,0.860497,專用設備製造業
667,2014,0.741758,房地產業
668,2014,0.219513,房地產業
669,2014,0.435605,燃氣生產和供應業
670,2014,0.95335,房地產業
671,2014,0.503442,房地產業
672,2014,0.944787,非金屬礦物製品業
673,2014,0.581322,文化藝術業
676,2014,1.254143,電氣機械和器材製造業
677,2014,1.169435,化學纖維製造業
678,2014,0.564286,通用設備製造業
679,2014,0.342496,零售業
680,2014,1.374214,專用設備製造業
681,2014,0.687852,軟件和信息技術服務業
682,2014,0.718156,電氣機械和器材製造業
683,2014,0.243107,化學原料和化學製品製造業
685,2014,0.986606,水的生產和供應業
686,2014,1.538706,資本市場服務
687,2014,0.578947,化學纖維製造業
688,2014,0.250865,有色金屬礦採選業
690,2014,0.26546,電力、熱力生產和供應業
691,2014,0.170431,房地產業
692,2014,0.20188,電力、熱力生產和供應業
693,2014,2.284939,有色金屬礦採選業
695,2014,0.708166,電力、熱力生產和供應業
697,2014,0.935599,有色金屬礦採選業
698,2014,0.332461,石油加工、煉焦和核燃料加工業
700,2014,0.38384,汽車製造業
701,2014,0.046757,批發業
702,2014,1.088172,農副食品加工業
703,2014,0.226913,化學纖維製造業
705,2014,0.339049,批發業
707,2014,0.310432,化學原料和化學製品製造業
708,2014,0.77654,黑色金屬冶煉和壓延加工業
709,2014,0.936044,黑色金屬冶煉和壓延加工業
710,2014,0.241177,汽車製造業
711,2014,1.151414,房地產業
712,2014,1.388604,水的生產和供應業
713,2014,0.115965,農、林、牧、漁服務業
715,2014,-0.145788,零售業
716,2014,0.227221,食品製造業
717,2014,0.758242,黑色金屬冶煉和壓延加工業
718,2014,0.503584,房地產業
719,2014,0.443655,新聞和出版業
720,2014,0.864035,電力、熱力生產和供應業
721,2014,0.885847,餐飲業
722,2014,0.135854,電力、熱力生產和供應業
723,2014,0.207498,石油加工、煉焦和核燃料加工業
725,2014,0.562791,計算機、通信和其他電子設備製造業
726,2014,0.188157,紡織業
727,2014,0.441288,計算機、通信和其他電子設備製造業
728,2014,2.086346,資本市場服務
729,2014,-0.001975,酒、飲料和精製茶製造業
731,2014,-0.102852,化學原料和化學製品製造業
732,2014,0.780303,房地產業
733,2014,0.585049,計算機、通信和其他電子設備製造業
735,2014,0.170735,畜牧業
736,2014,0.388261,房地產業
737,2014,0.035565,化學原料和化學製品製造業
738,2014,0.374135,鐵路、船舶、航空航天和其他運輸設備製造業
739,2014,0.546656,醫藥製造業
748,2014,1.147441,計算機、通信和其他電子設備製造業
750,2014,0.530017,資本市場服務
751,2014,0.546392,有色金屬冶煉和壓延加工業
752,2014,0.30954,酒、飲料和精製茶製造業
753,2014,0.54962,零售業
755,2014,0.498599,化學原料和化學製品製造業
756,2014,0.648695,醫藥製造業
757,2014,0.444444,通用設備製造業
758,2014,0.36786,有色金屬礦採選業
759,2014,0.27759,零售業
760,2014,-0.065758,汽車製造業
761,2014,0.727593,黑色金屬冶煉和壓延加工業
