CO_ID	CoName	Date	ROI
TEJF01 	Financial Inst.	2015/01/05	  -0.8999
TEJF02 	Insurance    	2015/01/05	  -0.4412
TEJF03 	Security and Trust	2015/01/05	  -0.5855
TEJN01 	Cement       	2015/01/05	  -1.0475
TEJN02 	Food         	2015/01/05	  -0.8687
TEJN03 	Plastic materials	2015/01/05	  -1.5217
TEJN04 	Plastic Products	2015/01/05	   0.3822
TEJN05 	Spinning     	2015/01/05	  -0.2413
TEJN06 	Machine Tools	2015/01/05	  -0.2949
TEJN07 	Motors & Appliances	2015/01/05	  -0.9495
TEJN08 	Wire         	2015/01/05	   0.0346
TEJN09 	Medicine     	2015/01/05	  -0.2795
TEJN10 	Medical supplies	2015/01/05	   0.2533
TEJN11 	Other chemical	2015/01/05	  -0.1308
TEJN12 	Glass ceramic	2015/01/05	  -1.6553
TEJN13 	Papermaking  	2015/01/05	  -0.0488
TEJN14 	Steel        	2015/01/05	   0.2616
TEJN15 	Rubber       	2015/01/05	  -0.3430
TEJN16 	Automobile   	2015/01/05	  -0.9319
TEJN17 	Construction 	2015/01/05	  -0.8086
TEJN18 	Ocean Air Trans.	2015/01/05	   1.3215
TEJN19 	Land transportation	2015/01/05	   1.6012
TEJN20 	Tourist catering	2015/01/05	  -0.8914
TEJN21 	Stores and Trade	2015/01/05	  -1.0204
TEJN22 	Oil Gas and Elec.	2015/01/05	  -0.5453
TEJN23 	Sports & Leisure	2015/01/05	  -0.7012
TEJO99 	Other        	2015/01/05	  -0.1327
TEJT01 	Personal computer	2015/01/05	  -0.4050
TEJT02 	Motherboard  	2015/01/05	   0.3388
TEJT03 	PCB          	2015/01/05	   0.6514
TEJT04 	PCB materials	2015/01/05	   0.1539
TEJT05 	PC peripherals	2015/01/05	   1.3243
TEJT06 	LED          	2015/01/05	   0.2512
TEJT07 	Solar        	2015/01/05	  -1.8050
TEJT08 	Panel        	2015/01/05	   4.6133
TEJT09 	Other optoelectronic	2015/01/05	   0.1044
TEJT10 	Connector    	2015/01/05	   0.8194
TEJT11 	Power Supply 	2015/01/05	   0.5584
TEJT12 	Cabinet      	2015/01/05	   0.8824
TEJT13 	Passive Components	2015/01/05	  -0.5908
TEJT14 	Other Electronic C.	2015/01/05	   0.1983
TEJT15 	Netcom       	2015/01/05	   0.6919
TEJT16 	IC Manufacturing	2015/01/05	  -0.0678
TEJT17 	IC Design    	2015/01/05	   0.8051
TEJT18 	Electronic Equipment	2015/01/05	  -0.2452
TEJT19 	Telecommunications	2015/01/05	  -1.1009
TEJT20 	Information channel	2015/01/05	  -0.2749
TEJT21 	Consumer Electronics	2015/01/05	  -1.2407
TEJT22 	Software     	2015/01/05	   0.7670
TEJF01 	Financial Inst.	2015/01/06	  -2.3003
TEJF02 	Insurance    	2015/01/06	  -1.2139
TEJF03 	Security and Trust	2015/01/06	  -2.0232
TEJN01 	Cement       	2015/01/06	  -1.5029
TEJN02 	Food         	2015/01/06	  -1.9629
TEJN03 	Plastic materials	2015/01/06	  -3.2965
TEJN04 	Plastic Products	2015/01/06	  -1.0858
TEJN05 	Spinning     	2015/01/06	  -2.1450
TEJN06 	Machine Tools	2015/01/06	  -2.5863
TEJN07 	Motors & Appliances	2015/01/06	  -1.7959
TEJN08 	Wire         	2015/01/06	  -2.3584
TEJN09 	Medicine     	2015/01/06	  -2.1286
TEJN10 	Medical supplies	2015/01/06	  -1.6146
TEJN11 	Other chemical	2015/01/06	  -1.6850
TEJN12 	Glass ceramic	2015/01/06	  -3.5674
TEJN13 	Papermaking  	2015/01/06	  -1.1630
TEJN14 	Steel        	2015/01/06	  -1.3626
TEJN15 	Rubber       	2015/01/06	  -1.5186
TEJN16 	Automobile   	2015/01/06	  -2.4710
TEJN17 	Construction 	2015/01/06	  -1.2155
TEJN18 	Ocean Air Trans.	2015/01/06	  -0.2662
TEJN19 	Land transportation	2015/01/06	  -0.8530
TEJN20 	Tourist catering	2015/01/06	  -0.9324
TEJN21 	Stores and Trade	2015/01/06	  -2.1589
TEJN22 	Oil Gas and Elec.	2015/01/06	   0.2336
TEJN23 	Sports & Leisure	2015/01/06	  -1.7636
TEJO99 	Other        	2015/01/06	  -0.8837
TEJT01 	Personal computer	2015/01/06	  -2.6369
TEJT02 	Motherboard  	2015/01/06	  -2.3058
TEJT03 	PCB          	2015/01/06	  -1.9848
TEJT04 	PCB materials	2015/01/06	  -1.0181
TEJT05 	PC peripherals	2015/01/06	  -1.7660
TEJT06 	LED          	2015/01/06	  -2.2899
TEJT07 	Solar        	2015/01/06	  -5.0698
TEJT08 	Panel        	2015/01/06	  -1.6021
TEJT09 	Other optoelectronic	2015/01/06	  -1.6025
TEJT10 	Connector    	2015/01/06	  -0.6170
TEJT11 	Power Supply 	2015/01/06	  -3.9011
TEJT12 	Cabinet      	2015/01/06	  -2.1805
TEJT13 	Passive Components	2015/01/06	  -1.8083
TEJT14 	Other Electronic C.	2015/01/06	  -0.4373
TEJT15 	Netcom       	2015/01/06	  -1.7915
TEJT16 	IC Manufacturing	2015/01/06	  -3.7547
TEJT17 	IC Design    	2015/01/06	  -1.0861
TEJT18 	Electronic Equipment	2015/01/06	  -2.7478
TEJT19 	Telecommunications	2015/01/06	  -1.2979
TEJT20 	Information channel	2015/01/06	  -1.8191
TEJT21 	Consumer Electronics	2015/01/06	  -2.6935
TEJT22 	Software     	2015/01/06	  -1.1894
TEJF01 	Financial Inst.	2015/01/07	   0.1446
TEJF02 	Insurance    	2015/01/07	   0.5887
TEJF03 	Security and Trust	2015/01/07	  -0.0337
TEJN01 	Cement       	2015/01/07	   0.2529
TEJN02 	Food         	2015/01/07	  -0.3314
TEJN03 	Plastic materials	2015/01/07	  -0.8453
TEJN04 	Plastic Products	2015/01/07	   0.1259
TEJN05 	Spinning     	2015/01/07	  -0.0074
TEJN06 	Machine Tools	2015/01/07	   0.0043
TEJN07 	Motors & Appliances	2015/01/07	   0.0970
TEJN08 	Wire         	2015/01/07	   0.6586
TEJN09 	Medicine     	2015/01/07	  -0.5128
TEJN10 	Medical supplies	2015/01/07	  -0.5950
