Date	Hon Hai Precision	TSMC         	Uni-President
2014-01-02	0.3745	-0.9479	0.5587
2014-01-03	-1.2438	-1.9139	-0.9259
2014-01-06	-0.5038	0.0	0.0
2014-01-07	0.0	-0.4878	-0.1869
2014-01-08	0.6329	1.9608	-0.3745
2014-01-09	1.2579	-2.8846	-1.6917
2014-01-10	0.8696	0.9901	-0.1912
2014-01-13	0.7389	0.9804	0.0
2014-01-14	0.6112	0.4854	-0.1916
2014-01-15	1.2151	1.4493	0.0
2014-01-16	0.7203	1.9048	-0.9597
2014-01-17	-0.1192	0.4673	-0.3876
2014-01-20	1.6706	0.0	-0.5837
2014-01-21	-0.8216	-0.9302	-0.7828
2014-01-22	-0.355	0.939	-1.1834
2014-01-23	-0.3563	0.0	0.1996
2014-01-24	1.3111	0.4651	0.0
2014-01-27	-0.1176	-2.7778	-0.3984
2014-02-05	-4.2403	-4.2857	-3.2
2014-02-06	0.738	1.4925	-1.6529
2014-02-07	-0.6105	1.9608	1.2605
2014-02-10	0.3686	-0.9615	0.0
2014-02-11	-1.5912	1.4563	0.8299
2014-02-12	2.3632	0.4785	-0.6173
2014-02-13	0.486	0.0	-1.3458
2014-02-14	0.9674	2.381	2.6233
2014-02-17	0.0	0.9302	0.818
2014-02-18	0.3593	-0.4608	1.4199
2014-02-19	0.2387	0.0	0.0
2014-02-20	-1.4286	-1.3889	-2.0
2014-02-21	1.087	0.939	1.9388
2014-02-24	-1.1947	-0.4651	-0.3003
2014-02-25	0.1209	0.9346	-0.502
2014-02-26	0.9662	-0.463	0.9082
2014-02-27	0.4785	0.4651	1.2
2014-03-03	-1.0714	0.0	-1.2846
2014-03-04	-0.361	-0.463	-0.5005
2014-03-05	0.2415	2.3256	0.6036
2014-03-06	1.6867	2.7273	1.2
2014-03-07	0.3555	1.3274	-0.5929
2014-03-10	-0.1181	-1.31	0.994
2014-03-11	-0.4728	0.885	-0.3937
2014-03-12	0.5938	-0.8772	0.1976
2014-03-13	1.6529	3.0973	0.789
2014-03-14	-0.6969	-1.2876	2.9354
2014-03-17	1.4035	-0.8696	0.0
2014-03-18	-0.8074	0.4386	-0.7605
2014-03-19	-0.814	0.0	-0.9579
2014-03-20	-1.0551	-2.1834	-2.5145
2014-03-21	0.3555	0.4464	-0.3968
2014-03-24	1.5348	0.0	0.1992
2014-03-25	-0.3488	0.8889	0.3976
2014-03-26	0.3501	1.7621	1.7822
2014-03-27	0.3488	0.4329	0.5837
2014-03-28	0.0	1.2931	0.5803
2014-03-31	0.0	0.8511	1.9231
2014-04-01	-0.1159	0.8439	-2.2642
2014-04-02	0.0	0.4184	-0.9653
2014-04-03	0.0	-1.25	0.0
2014-04-07	0.116	-0.8439	-0.3899
2014-04-08	0.1159	1.2766	-0.1957
2014-04-09	0.1157	0.0	0.1961
2014-04-10	0.3468	0.4202	0.9785
2014-04-11	-0.8065	0.4184	-1.1628
2014-04-14	0.5807	0.4167	0.5882
2014-04-15	0.6928	1.6598	-0.3899
2014-04-16	0.344	-1.2245	0.1957
2014-04-17	0.4571	-0.8264	-0.3906
2014-04-18	0.1138	2.5	0.0
2014-04-21	-0.1136	-1.2195	0.3922
2014-04-22	-0.1138	0.0	0.3906
2014-04-23	0.9112	-0.4115	2.1401
2014-04-24	0.0	0.0	-0.9524
2014-04-25	-1.8059	-2.0661	-0.9615
2014-04-28	-0.6897	0.4219	-0.1942
2014-04-29	1.6204	1.2605	0.1946
2014-04-30	-1.3667	-1.6598	-0.7767
2014-05-02	2.5404	-0.4219	0.7828
2014-05-05	-0.1126	-0.8475	0.0
2014-05-06	0.3382	0.8547	-0.7767
2014-05-07	-0.2247	0.4237	-0.1957
2014-05-08	0.3378	0.8439	0.9804
2014-05-09	0.3367	0.4184	-0.1942
2014-05-12	-1.9016	-1.25	-1.5564
2014-05-13	0.2281	1.6878	0.3953
2014-05-14	0.3413	1.2448	1.5748
2014-05-15	0.4535	0.0	0.1938
2014-05-16	0.2257	0.0	0.0
2014-05-19	1.1261	-0.8197	-0.1934
2014-05-20	0.8909	0.0	-0.5814
2014-05-21	-0.6623	-0.4132	0.3899
2014-05-22	2.2222	1.2448	0.9709
2014-05-23	1.087	0.0	0.1923
2014-05-26	-0.5376	0.8197	1.5355
2014-05-27	0.3243	0.4065	-0.189
2014-05-28	0.6466	0.4049	0.3788
2014-05-29	0.1071	-1.6129	0.566
2014-05-30	-1.1765	-2.0492	-1.5009
2014-06-03	0.6494	2.5105	0.9524
2014-06-04	0.1075	0.8163	-1.6981
2014-06-05	-0.2148	-0.4049	0.1919
2014-06-06	0.3229	-0.4065	0.1916
