Date	Close	Open	High	Low	Volume
2015-06-01	77.0	78.43	78.43	77.0	36037
2015-06-02	77.4	76.76	77.79	76.53	35901
2015-06-03	76.76	77.16	77.55	76.61	24318
2015-06-04	74.78	76.76	76.84	74.71	58763
2015-06-05	74.63	74.39	75.5	73.99	42210
2015-06-08	75.1	74.94	75.5	74.23	30900
2015-06-09	73.76	75.1	75.18	73.68	28293
2015-06-10	75.66	75.18	75.66	74.78	36906
2015-06-11	75.81	76.21	76.53	74.78	37788
2015-06-12	75.18	75.81	75.81	75.1	15514
2015-06-15	74.39	74.78	75.26	74.39	19062
2015-06-16	75.02	75.1	75.1	74.07	23270
2015-06-17	74.71	75.18	75.18	74.31	26416
2015-06-18	74.86	74.86	75.18	74.39	25733
2015-06-22	76.92	75.58	77.0	75.58	39619
2015-06-23	76.84	77.32	77.79	76.76	31625
2015-06-24	77.24	76.68	77.32	76.68	23036
2015-06-25	78.35	78.19	78.9	77.87	77040
2015-06-26	78.5	78.58	78.58	77.95	44332
2015-06-29	76.68	77.63	77.63	76.45	36806
2015-06-30	76.76	76.68	77.08	76.37	26938
2015-07-01	77.55	77.08	77.79	76.76	25391
2015-07-02	77.55	77.48	77.79	77.24	20746
2015-07-03	77.0	77.32	77.32	76.76	12800
2015-07-06	76.21	76.21	77.0	75.89	23085
2015-07-07	77.0	77.16	77.4	76.68	16724
2015-07-08	74.78	77.0	77.08	74.39	50886
2015-07-09	73.91	72.41	74.63	72.41	42804
2015-07-13	76.13	74.78	76.13	74.71	31128
2015-07-14	74.94	76.61	76.92	74.94	36958
2015-07-15	75.73	75.89	75.97	74.86	23337
2015-07-16	75.97	76.37	76.37	75.42	17443
2015-07-17	75.26	75.97	76.05	75.26	19974
2015-07-20	75.26	75.89	76.05	75.1	15708
2015-07-21	76.21	75.81	76.21	75.26	15810
2015-07-22	75.02	75.18	75.81	74.94	28949
2015-07-23	71.62	73.99	74.63	71.62	82507
2015-07-24	71.62	71.78	72.41	70.83	42402
2015-07-27	71.3	71.54	72.09	71.22	26314
2015-07-28	71.22	71.3	72.02	71.22	27776
2015-07-29	72.41	71.22	72.41	69.25	50764
2015-07-30	71.94	72.41	72.89	71.62	29245
2015-07-31	71.78	72.09	72.25	71.46	27876
2015-08-03	70.59	72.02	72.02	69.88	35313
2015-08-04	70.83	70.59	71.46	69.72	32607
2015-08-05	70.43	70.12	70.83	70.12	30252
2015-08-06	70.04	70.43	70.91	69.72	31805
2015-08-07	70.04	69.8	70.35	69.32	21997
2015-08-10	70.04	70.04	70.59	69.48	22352
2015-08-11	70.04	71.22	71.62	69.96	37973
