Date	Close	Open	High	Low	Volume	ROI
2015-01-05	34.87	34.68	35.05	34.59	182	0.0
2015-01-06	35.24	34.68	35.24	34.68	130	1.0582
2015-01-07	35.47	35.14	35.51	35.14	125	0.6545
2015-01-08	35.42	35.42	35.51	35.42	115	-0.13
2015-01-09	35.51	35.47	35.51	35.38	103	0.2604
2015-01-12	35.51	35.51	35.7	35.33	121	0.0
2015-01-13	35.7	35.51	35.79	35.51	116	0.5195
2015-01-14	35.33	35.79	35.79	35.33	155	-1.0336
2015-01-15	35.24	35.24	35.7	35.24	62	-0.2611
2015-01-16	35.1	35.24	35.24	34.87	172	-0.3927
2015-01-19	35.1	35.05	35.24	35.05	80	0.0
2015-01-20	35.42	35.1	35.47	35.1	50	0.9198
2015-01-21	35.47	35.42	35.79	35.19	75	0.1302
2015-01-22	35.28	35.47	35.47	35.24	73	-0.5202
2015-01-23	35.19	35.38	35.51	35.05	108	-0.2614
2015-01-26	35.19	35.05	35.28	34.96	205	0.0
2015-01-27	35.24	35.05	35.38	35.01	63	0.1311
2015-01-28	35.33	35.05	35.33	35.05	113	0.2618
2015-01-29	35.14	35.33	35.33	35.05	41	-0.5222
2015-01-30	35.14	35.14	35.33	35.14	39	0.0
2015-02-02	35.24	35.14	35.24	35.14	40	0.2625
2015-02-03	35.1	35.56	35.56	35.1	97	-0.3927
2015-02-04	35.01	35.1	35.28	35.01	78	-0.2628
2015-02-05	35.1	35.01	35.19	34.87	106	0.2635
2015-02-06	34.91	35.1	35.14	34.91	88	-0.5256
2015-02-09	35.05	34.87	35.05	34.82	39	0.3963
2015-02-10	34.96	35.05	35.14	34.87	68	-0.2632
2015-02-11	35.14	34.82	35.19	34.78	72	0.5277
2015-02-12	35.05	34.96	35.14	34.96	23	-0.2625
2015-02-13	35.05	34.78	35.24	34.78	59	0.0
2015-02-24	34.96	34.78	35.05	34.78	96	-0.2632
2015-02-25	34.78	34.82	34.96	34.78	123	-0.5277
2015-02-26	34.96	34.68	34.96	34.59	87	0.5305
2015-03-02	34.82	34.59	34.87	34.59	57	-0.3958
2015-03-03	34.68	34.64	34.73	34.59	85	-0.3974
2015-03-04	34.78	34.68	34.87	34.68	86	0.266
2015-03-05	34.91	34.82	34.91	34.73	50	0.3979
2015-03-06	34.87	34.87	34.87	34.87	28	-0.1321
2015-03-09	34.96	34.68	34.96	34.68	64	0.2646
2015-03-10	34.87	34.96	34.96	34.78	61	-0.2639
2015-03-11	34.73	34.68	34.78	34.59	95	-0.3968
2015-03-12	34.87	34.78	34.96	34.78	100	0.3984
2015-03-13	34.82	34.78	34.87	34.68	97	-0.1323
2015-03-16	34.87	34.68	34.87	34.59	85	0.1325
2015-03-17	34.73	34.87	34.87	34.73	116	-0.3968
2015-03-18	34.64	34.68	34.78	34.59	123	-0.2656
2015-03-19	34.64	34.68	34.68	34.59	166	0.0
2015-03-20	34.78	34.59	34.78	34.5	304	0.3995
2015-03-23	34.87	34.78	34.91	34.78	92	0.2653
2015-03-24	34.91	34.91	34.91	34.59	156	0.1323
2015-03-25	34.68	34.91	34.91	34.59	72	-0.6605
