Date,Date,Close,Open,High,Low,Volume,ROI
2015-01-05,2015-01-05,13.95,13.49,14.13,13.4,116195,3.3898
2015-01-06,2015-01-06,13.49,13.72,13.81,13.49,73981,-3.2787
2015-01-07,2015-01-07,13.53,13.49,13.67,13.4,47114,0.33899999999999997
2015-01-08,2015-01-08,13.63,13.72,13.81,13.63,65851,0.6757
2015-01-09,2015-01-09,13.81,13.9,13.99,13.72,93825,1.3423
2015-01-12,2015-01-12,14.4,13.95,14.72,13.95,233428,4.3046
2015-01-13,2015-01-13,14.22,14.45,14.59,14.17,102732,-1.2698
2015-01-14,2015-01-14,13.95,14.13,14.17,13.85,106739,-1.9293
2015-01-15,2015-01-15,13.76,13.95,14.13,13.76,96404,-1.3115
2015-01-16,2015-01-16,13.44,13.81,14.13,13.44,161745,-2.3256
2015-01-19,2015-01-19,13.76,13.67,13.85,13.63,79977,2.381
2015-01-20,2015-01-20,13.9,13.95,13.99,13.85,45476,0.9967
2015-01-21,2015-01-21,13.85,13.99,14.04,13.76,47841,-0.3289
2015-01-22,2015-01-22,14.13,13.99,14.22,13.95,85750,1.9802
2015-01-23,2015-01-23,14.27,14.31,14.36,14.17,95654,0.9709
2015-01-26,2015-01-26,14.17,14.17,14.36,14.08,56122,-0.6409999999999999
2015-01-27,2015-01-27,14.13,14.27,14.27,13.99,58730,-0.3226
2015-01-28,2015-01-28,14.31,14.08,14.31,13.99,91034,1.2945
2015-01-29,2015-01-29,14.04,14.31,14.36,13.95,102347,-1.9169
2015-01-30,2015-01-30,14.08,14.17,14.27,14.04,86191,0.3257
2015-02-02,2015-02-02,14.13,14.13,14.22,14.04,55917,0.3247
2015-02-03,2015-02-03,14.31,14.22,14.4,14.22,100320,1.2945
2015-02-04,2015-02-04,14.31,14.49,14.54,14.31,106899,0.0
2015-02-05,2015-02-05,14.4,14.45,14.45,14.27,54108,0.639
2015-02-06,2015-02-06,14.31,14.45,14.45,14.31,43650,-0.6349
2015-02-09,2015-02-09,14.31,14.31,14.4,14.22,39186,0.0
2015-02-10,2015-02-10,14.08,14.4,14.45,14.08,43062,-1.5974
2015-02-11,2015-02-11,14.4,14.27,14.45,14.17,74043,2.2727
2015-02-12,2015-02-12,14.31,14.49,14.49,14.27,40472,-0.6349
2015-02-13,2015-02-13,14.27,14.36,14.4,14.17,45907,-0.3195
2015-02-24,2015-02-24,14.49,14.45,14.49,14.27,71058,1.6026
2015-02-25,2015-02-25,14.68,14.49,14.68,14.45,88365,1.2618
2015-02-26,2015-02-26,14.63,14.63,14.68,14.45,67714,-0.3115
2015-03-02,2015-03-02,14.49,14.68,14.72,14.4,60350,-0.9375
2015-03-03,2015-03-03,14.49,14.54,14.59,14.36,47908,0.0
2015-03-04,2015-03-04,14.4,14.45,14.59,14.4,50862,-0.6309
2015-03-05,2015-03-05,14.31,14.36,14.49,14.31,51219,-0.6349
2015-03-06,2015-03-06,14.31,14.31,14.4,14.22,55362,0.0
2015-03-09,2015-03-09,14.36,14.27,14.36,14.17,59064,0.3195
2015-03-10,2015-03-10,14.36,14.4,14.54,14.36,61473,0.0
2015-03-11,2015-03-11,14.31,14.27,14.54,14.22,56752,-0.3185
2015-03-12,2015-03-12,14.45,14.31,14.54,14.31,43986,0.9585
2015-03-13,2015-03-13,14.36,14.49,14.54,14.36,22191,-0.6329
2015-03-16,2015-03-16,14.31,14.4,14.4,14.27,29764,-0.3185
2015-03-17,2015-03-17,14.31,14.36,14.45,14.31,26301,0.0
2015-03-18,2015-03-18,14.4,14.31,14.45,14.22,51303,0.639
2015-03-19,2015-03-19,14.49,14.54,14.59,14.4,46629,0.6349
2015-03-20,2015-03-20,14.31,14.4,14.49,14.27,38546,-1.2618
2015-03-23,2015-03-23,14.4,14.4,14.45,14.31,30135,0.639
2015-03-24,2015-03-24,14.36,14.4,14.45,14.27,28134,-0.3175
2015-03-25,2015-03-25,14.27,14.4,14.45,14.27,30326,-0.6369
2015-03-26,2015-03-26,13.95,13.99,14.04,13.76,77016,-2.2436
2015-03-27,2015-03-27,13.9,13.99,14.13,13.9,59569,-0.3279
2015-03-30,2015-03-30,13.99,13.99,14.13,13.9,35544,0.6579
2015-03-31,2015-03-31,14.17,14.13,14.17,13.99,43396,1.3072
