CO_ID	CoName	Date	ROI
Y9999  	TSE Taiex    	2014/01/02	   0.0120
TWN50  	TW 50 INDEX  	2014/01/02	  -0.3534
TM100  	TW MID-CAP INDEX	2014/01/02	   0.6243
Y9999  	TSE Taiex    	2014/01/03	  -0.7663
TWN50  	TW 50 INDEX  	2014/01/03	  -1.1200
TM100  	TW MID-CAP INDEX	2014/01/03	  -0.7370
Y9999  	TSE Taiex    	2014/01/06	  -0.5444
TWN50  	TW 50 INDEX  	2014/01/06	  -0.5494
TM100  	TW MID-CAP INDEX	2014/01/06	  -0.7055
Y9999  	TSE Taiex    	2014/01/07	   0.1446
TWN50  	TW 50 INDEX  	2014/01/07	  -0.2469
TM100  	TW MID-CAP INDEX	2014/01/07	   0.7422
Y9999  	TSE Taiex    	2014/01/08	   0.5135
TWN50  	TW 50 INDEX  	2014/01/08	   0.5209
TM100  	TW MID-CAP INDEX	2014/01/08	   0.7887
Y9999  	TSE Taiex    	2014/01/09	  -0.4831
TWN50  	TW 50 INDEX  	2014/01/09	  -0.5343
TM100  	TW MID-CAP INDEX	2014/01/09	  -0.5217
Y9999  	TSE Taiex    	2014/01/10	   0.1723
TWN50  	TW 50 INDEX  	2014/01/10	   0.1974
TM100  	TW MID-CAP INDEX	2014/01/10	   0.3487
Y9999  	TSE Taiex    	2014/01/13	   0.4320
TWN50  	TW 50 INDEX  	2014/01/13	   0.6862
TM100  	TW MID-CAP INDEX	2014/01/13	  -0.1014
Y9999  	TSE Taiex    	2014/01/14	  -0.2108
TWN50  	TW 50 INDEX  	2014/01/14	  -0.1150
TM100  	TW MID-CAP INDEX	2014/01/14	  -0.2206
Y9999  	TSE Taiex    	2014/01/15	   0.6365
TWN50  	TW 50 INDEX  	2014/01/15	   0.9111
TM100  	TW MID-CAP INDEX	2014/01/15	   0.4551
Y9999  	TSE Taiex    	2014/01/16	   0.1111
TWN50  	TW 50 INDEX  	2014/01/16	   0.4080
TM100  	TW MID-CAP INDEX	2014/01/16	  -0.0911
Y9999  	TSE Taiex    	2014/01/17	  -0.1871
TWN50  	TW 50 INDEX  	2014/01/17	  -0.1552
TM100  	TW MID-CAP INDEX	2014/01/17	  -0.1127
Y9999  	TSE Taiex    	2014/01/20	   0.2973
TWN50  	TW 50 INDEX  	2014/01/20	   0.3795
TM100  	TW MID-CAP INDEX	2014/01/20	   0.5229
Y9999  	TSE Taiex    	2014/01/21	  -0.2512
TWN50  	TW 50 INDEX  	2014/01/21	  -0.5593
TM100  	TW MID-CAP INDEX	2014/01/21	   0.2149
Y9999  	TSE Taiex    	2014/01/22	   0.2954
TWN50  	TW 50 INDEX  	2014/01/22	   0.5123
TM100  	TW MID-CAP INDEX	2014/01/22	  -0.0681
Y9999  	TSE Taiex    	2014/01/23	  -0.3501
TWN50  	TW 50 INDEX  	2014/01/23	  -0.3926
TM100  	TW MID-CAP INDEX	2014/01/23	  -0.2368
Y9999  	TSE Taiex    	2014/01/24	   0.0373
TWN50  	TW 50 INDEX  	2014/01/24	   0.2925
TM100  	TW MID-CAP INDEX	2014/01/24	  -0.0315
Y9999  	TSE Taiex    	2014/01/27	  -1.5787
TWN50  	TW 50 INDEX  	2014/01/27	  -1.8321
TM100  	TW MID-CAP INDEX	2014/01/27	  -1.5633
Y9999  	TSE Taiex    	2014/02/05	  -2.3408
TWN50  	TW 50 INDEX  	2014/02/05	  -3.3263
TM100  	TW MID-CAP INDEX	2014/02/05	  -1.4450
Y9999  	TSE Taiex    	2014/02/06	   0.5630
TWN50  	TW 50 INDEX  	2014/02/06	   0.6113
TM100  	TW MID-CAP INDEX	2014/02/06	   0.5941
Y9999  	TSE Taiex    	2014/02/07	   0.9185
TWN50  	TW 50 INDEX  	2014/02/07	   1.1184
TM100  	TW MID-CAP INDEX	2014/02/07	   0.8744
Y9999  	TSE Taiex    	2014/02/10	   0.0548
TWN50  	TW 50 INDEX  	2014/02/10	  -0.0733
TM100  	TW MID-CAP INDEX	2014/02/10	   0.2521
Y9999  	TSE Taiex    	2014/02/11	   0.4601
TWN50  	TW 50 INDEX  	2014/02/11	   0.5707
TM100  	TW MID-CAP INDEX	2014/02/11	   0.3261
Y9999  	TSE Taiex    	2014/02/12	   0.9526
TWN50  	TW 50 INDEX  	2014/02/12	   1.1937
TM100  	TW MID-CAP INDEX	2014/02/12	   0.7466
Y9999  	TSE Taiex    	2014/02/13	  -0.5072
TWN50  	TW 50 INDEX  	2014/02/13	  -0.4860
TM100  	TW MID-CAP INDEX	2014/02/13	  -0.4829
Y9999  	TSE Taiex    	2014/02/14	   0.5430
TWN50  	TW 50 INDEX  	2014/02/14	   1.0575
TM100  	TW MID-CAP INDEX	2014/02/14	  -0.1027
Y9999  	TSE Taiex    	2014/02/17	   0.0689
TWN50  	TW 50 INDEX  	2014/02/17	   0.0927
TM100  	TW MID-CAP INDEX	2014/02/17	   0.1722
Y9999  	TSE Taiex    	2014/02/18	   0.4305
TWN50  	TW 50 INDEX  	2014/02/18	   0.3829
TM100  	TW MID-CAP INDEX	2014/02/18	   0.4108
Y9999  	TSE Taiex    	2014/02/19	   0.2429
TWN50  	TW 50 INDEX  	2014/02/19	   0.1904
TM100  	TW MID-CAP INDEX	2014/02/19	  -0.0614
Y9999  	TSE Taiex    	2014/02/20	  -0.6108
TWN50  	TW 50 INDEX  	2014/02/20	  -0.9321
TM100  	TW MID-CAP INDEX	2014/02/20	  -0.2379
Y9999  	TSE Taiex    	2014/02/21	   0.9061
TWN50  	TW 50 INDEX  	2014/02/21	   1.0456
TM100  	TW MID-CAP INDEX	2014/02/21	   0.6441
Y9999  	TSE Taiex    	2014/02/24	  -0.4795
TWN50  	TW 50 INDEX  	2014/02/24	  -0.7143
TM100  	TW MID-CAP INDEX	2014/02/24	  -0.3861
Y9999  	TSE Taiex    	2014/02/25	   0.1753
TWN50  	TW 50 INDEX  	2014/02/25	   0.2576
TM100  	TW MID-CAP INDEX	2014/02/25	   0.1551
Y9999  	TSE Taiex    	2014/02/26	   0.2943
TWN50  	TW 50 INDEX  	2014/02/26	   0.1910
TM100  	TW MID-CAP INDEX	2014/02/26	   0.6357
Y9999  	TSE Taiex    	2014/02/27	   0.4502
TWN50  	TW 50 INDEX  	2014/02/27	   0.3652
TM100  	TW MID-CAP INDEX	2014/02/27	   0.8094
Y9999  	TSE Taiex    	2014/03/03	  -0.4352
TWN50  	TW 50 INDEX  	2014/03/03	  -0.5605
TM100  	TW MID-CAP INDEX	2014/03/03	  -0.0925
Y9999  	TSE Taiex    	2014/03/04	  -0.5515
TWN50  	TW 50 INDEX  	2014/03/04	  -0.7061
TM100  	TW MID-CAP INDEX	2014/03/04	  -0.7579
Y9999  	TSE Taiex    	2014/03/05	   0.9164
TWN50  	TW 50 INDEX  	2014/03/05	   1.0820
TM100  	TW MID-CAP INDEX	2014/03/05	   0.6581
Y9999  	TSE Taiex    	2014/03/06	   0.9366
TWN50  	TW 50 INDEX  	2014/03/06	   1.3743
TM100  	TW MID-CAP INDEX	2014/03/06	   0.3836
Y9999  	TSE Taiex    	2014/03/07	   0.0020
TWN50  	TW 50 INDEX  	2014/03/07	   0.6063
TM100  	TW MID-CAP INDEX	2014/03/07	  -0.5085
Y9999  	TSE Taiex    	2014/03/10	  -0.5591
TWN50  	TW 50 INDEX  	2014/03/10	  -0.7691
TM100  	TW MID-CAP INDEX	2014/03/10	  -0.4652
Y9999  	TSE Taiex    	2014/03/11	   0.4280
TWN50  	TW 50 INDEX  	2014/03/11	   0.4480
TM100  	TW MID-CAP INDEX	2014/03/11	   0.1275
Y9999  	TSE Taiex    	2014/03/12	  -0.2022
TWN50  	TW 50 INDEX  	2014/03/12	  -0.3158
TM100  	TW MID-CAP INDEX	2014/03/12	  -0.0261
Y9999  	TSE Taiex    	2014/03/13	   0.7261
TWN50  	TW 50 INDEX  	2014/03/13	   1.1767
TM100  	TW MID-CAP INDEX	2014/03/13	  -0.0628
Y9999  	TSE Taiex    	2014/03/14	  -0.6877
TWN50  	TW 50 INDEX  	2014/03/14	  -0.8187
TM100  	TW MID-CAP INDEX	2014/03/14	  -0.6271
Y9999  	TSE Taiex    	2014/03/17	   0.1435
TWN50  	TW 50 INDEX  	2014/03/17	  -0.1216
TM100  	TW MID-CAP INDEX	2014/03/17	   0.4670
Y9999  	TSE Taiex    	2014/03/18	   0.3660
TWN50  	TW 50 INDEX  	2014/03/18	   0.3846
TM100  	TW MID-CAP INDEX	2014/03/18	   0.1406
Y9999  	TSE Taiex    	2014/03/19	  -0.4865
TWN50  	TW 50 INDEX  	2014/03/19	  -0.4743
TM100  	TW MID-CAP INDEX	2014/03/19	  -0.5594
Y9999  	TSE Taiex    	2014/03/20	  -1.0603
TWN50  	TW 50 INDEX  	2014/03/20	  -1.1977
TM100  	TW MID-CAP INDEX	2014/03/20	  -1.0959
Y9999  	TSE Taiex    	2014/03/21	  -0.2345
TWN50  	TW 50 INDEX  	2014/03/21	  -0.2143
TM100  	TW MID-CAP INDEX	2014/03/21	   0.0633
Y9999  	TSE Taiex    	2014/03/24	   0.3289
TWN50  	TW 50 INDEX  	2014/03/24	   0.6149
TM100  	TW MID-CAP INDEX	2014/03/24	   0.1727
Y9999  	TSE Taiex    	2014/03/25	   0.9752
TWN50  	TW 50 INDEX  	2014/03/25	   0.8670
TM100  	TW MID-CAP INDEX	2014/03/25	   0.7096
Y9999  	TSE Taiex    	2014/03/26	   0.5521
TWN50  	TW 50 INDEX  	2014/03/26	   0.6668
TM100  	TW MID-CAP INDEX	2014/03/26	   0.6912
Y9999  	TSE Taiex    	2014/03/27	   0.4841
TWN50  	TW 50 INDEX  	2014/03/27	   0.5616
TM100  	TW MID-CAP INDEX	2014/03/27	   0.0378
Y9999  	TSE Taiex    	2014/03/28	  -0.0562
TWN50  	TW 50 INDEX  	2014/03/28	   0.3689
TM100  	TW MID-CAP INDEX	2014/03/28	  -0.3726
Y9999  	TSE Taiex    	2014/03/31	   0.8506
TWN50  	TW 50 INDEX  	2014/03/31	   0.6536
TM100  	TW MID-CAP INDEX	2014/03/31	   1.2983
Y9999  	TSE Taiex    	2014/04/01	   0.2697
TWN50  	TW 50 INDEX  	2014/04/01	   0.4218
TM100  	TW MID-CAP INDEX	2014/04/01	   0.1023
Y9999  	TSE Taiex    	2014/04/02	   0.3640
TWN50  	TW 50 INDEX  	2014/04/02	   0.3370
TM100  	TW MID-CAP INDEX	2014/04/02	   0.7117
Y9999  	TSE Taiex    	2014/04/03	  -0.1899
TWN50  	TW 50 INDEX  	2014/04/03	  -0.4491
TM100  	TW MID-CAP INDEX	2014/04/03	  -0.0687
Y9999  	TSE Taiex    	2014/04/07	  -0.1361
TWN50  	TW 50 INDEX  	2014/04/07	  -0.1829
TM100  	TW MID-CAP INDEX	2014/04/07	   0.0943
Y9999  	TSE Taiex    	2014/04/08	   0.1330
TWN50  	TW 50 INDEX  	2014/04/08	   0.3857
TM100  	TW MID-CAP INDEX	2014/04/08	  -0.4127
Y9999  	TSE Taiex    	2014/04/09	   0.4761
TWN50  	TW 50 INDEX  	2014/04/09	   0.3929
TM100  	TW MID-CAP INDEX	2014/04/09	   0.4978
Y9999  	TSE Taiex    	2014/04/10	   0.1963
TWN50  	TW 50 INDEX  	2014/04/10	   0.5572
TM100  	TW MID-CAP INDEX	2014/04/10	  -0.3212
Y9999  	TSE Taiex    	2014/04/11	  -0.4476
TWN50  	TW 50 INDEX  	2014/04/11	  -0.2041
TM100  	TW MID-CAP INDEX	2014/04/11	  -0.7486
Y9999  	TSE Taiex    	2014/04/14	  -0.5684
TWN50  	TW 50 INDEX  	2014/04/14	  -0.2546
TM100  	TW MID-CAP INDEX	2014/04/14	  -0.8166
Y9999  	TSE Taiex    	2014/04/15	   0.6694
TWN50  	TW 50 INDEX  	2014/04/15	   0.6152
TM100  	TW MID-CAP INDEX	2014/04/15	   0.7793
