Security Name,CoName,YY/MM/DD,Market Risk Premium,Size Factor (3 Factor),Book to Market Factor,Risk-free Interest Rate
Z8888  ,TSEC+GreTai Non-Banking index,2014/01/02,   0.0145,   0.7197,   0.3039, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/01/03,  -0.5858,   0.6868,   1.0533, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/01/06,  -0.4534,   0.5783,   0.4498, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/01/07,   0.1950,   0.4554,   0.7056, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/01/08,   0.6204,  -0.0295,   0.2259, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/01/09,  -0.5598,  -0.1396,   0.2177, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/01/10,   0.1987,   0.1814,   0.3059, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/01/13,   0.3855,  -0.0812,  -0.7102, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/01/14,  -0.1586,   0.0444,  -0.0732, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/01/15,   0.7094,  -0.0390,   0.0151, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/01/16,   0.0564,   0.0014,  -0.3596, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/01/17,  -0.2374,   0.1028,   0.1334, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/01/20,   0.2903,   0.1176,   0.1820, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/01/21,  -0.3324,   0.2056,   0.3459, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/01/22,   0.2929,  -0.0689,  -0.6033, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/01/23,  -0.2445,   0.1058,   0.0994, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/01/24,  -0.0226,  -0.3687,  -0.1540, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/01/27,  -1.5487,   0.4878,  -0.6228, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/02/05,  -2.0826,   2.4938,   0.5087, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/02/06,   0.7695,   0.6419,   0.6376, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/02/07,   0.9112,  -0.1602,  -0.2451, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/02/10,   0.0921,   0.1106,  -0.2109, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/02/11,   0.4889,   0.1116,  -0.4765, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/02/12,   0.9341,  -0.2312,   0.0286, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/02/13,  -0.4306,   0.3549,   0.1622, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/02/14,   0.4165,  -0.2423,  -0.6766, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/02/17,   0.1171,   0.0570,  -0.0312, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/02/18,   0.4106,   0.5252,  -0.1112, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/02/19,   0.2803,   0.5965,   0.2180, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/02/20,  -0.5384,   0.4890,   0.4131, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/02/21,   0.9310,  -0.2212,   0.0420, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/02/24,  -0.2154,   0.5243,   0.2943, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/02/25,   0.2888,   0.1456,   0.0313, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/02/26,   0.3967,   0.1009,   0.0907, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/02/27,   0.4419,  -0.1784,  -0.0216, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/03,  -0.2952,   0.1848,   0.0473, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/04,  -0.5409,   0.2237,   0.0696, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/05,   0.9995,   0.0336,  -0.1810, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/06,   0.9689,   0.0862,  -0.6481, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/07,  -0.2102,  -0.4543,  -0.9301, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/10,  -0.4746,   0.5652,   0.1360, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/11,   0.6323,   0.1132,   0.0776, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/12,  -0.2111,   0.5324,   0.1416, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/13,   0.8463,   0.2230,  -0.8469, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/14,  -0.6362,   0.6364,   0.1794, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/17,   0.1617,   0.1874,   0.5344, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/18,   0.3000,   0.4321,  -0.4072, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/19,  -0.5535,  -0.0629,  -0.0841, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/20,  -1.0313,   0.1668,  -0.4128, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/21,  -0.2899,  -0.5439,   0.4965, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/24,   0.2313,  -1.2039,  -0.3258, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/25,   1.1481,   0.9172,  -0.0154, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/26,   0.5615,   0.0238,  -0.3062, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/27,   0.5002,  -0.0707,  -0.4454, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/28,  -0.2141,  -0.5585,  -0.6582, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/03/31,   0.9859,   0.0571,   0.0574, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/01,   0.3652,  -0.0134,  -0.1565, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/02,   0.4841,   0.2471,  -0.5999, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/03,  -0.1643,   0.3386,   0.2747, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/07,  -0.1401,   0.0308,   0.3478, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/08,   0.1404,   0.0273,  -0.1717, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/09,   0.4850,   0.1913,   0.2341, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/10,   0.0476,  -0.2306,  -0.1361, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/11,  -0.5739,  -0.3801,  -0.2503, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/14,  -0.7461,  -0.8124,  -0.4830, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/15,   0.8754,   0.2116,  -0.5118, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/16,   0.1201,   0.0162,   0.7766, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/17,   0.2782,   0.0674,   0.2683, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/18,   0.3011,  -0.3830,  -0.1437, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/21,  -0.0508,   0.1491,   0.3250, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/22,   0.2846,  -0.0683,   0.2115, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/23,  -0.1371,  -0.4427,  -0.0730, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/24,  -0.1249,  -0.5839,  -0.8013, 1.355
