YY/MM/DD	Market Risk Premium	Size Factor (3 Factor)	Book to Market Factor	Risk-free Interest Rate
2015-01-05	-0.3523	0.3276	1.2267	1.355
2015-01-06	-2.4461	1.2977	0.4697	1.355
2015-01-07	0.3387	0.1506	0.4279	1.355
2015-01-08	1.7355	-1.4043	-0.0913	1.355
2015-01-09	-0.2575	0.3646	0.3052	1.355
2015-01-12	-0.4086	0.1984	0.0541	1.355
2015-01-13	0.5637	-0.3991	0.0589	1.355
2015-01-14	-0.5623	0.6557	0.3009	1.355
2015-01-15	-0.1598	0.1515	-0.2934	1.355
2015-01-16	-0.2997	-0.4092	-0.6731	1.355
2015-01-19	0.3792	-0.7544	-0.0636	1.355
2015-01-20	0.8537	-0.1385	0.26899999999999996	1.355
2015-01-21	0.7333	-0.2035	-1.2486	1.355
2015-01-22	0.5299	-0.0964	0.5405	1.355
2015-01-23	1.0886	-0.8181	-0.4716	1.355
2015-01-26	0.0751	-0.0515	0.2439	1.355
2015-01-27	0.45299999999999996	-0.2175	-0.0641	1.355
2015-01-28	-0.1136	-0.0809	0.3035	1.355
2015-01-29	-0.8894	0.6563	0.4179	1.355
2015-01-30	-0.6974	0.4072	-0.1322	1.355
2015-02-02	0.2661	-0.6891	-0.6312	1.355
2015-02-03	0.6465	-0.3123	-0.1363	1.355
2015-02-04	0.6845	-0.5624	-0.3541	1.355
2015-02-05	-0.0151	-0.0309	0.0488	1.355
2015-02-06	-0.5899	0.3635	0.1024	1.355
2015-02-09	-0.3735	0.0358	0.0627	1.355
2015-02-10	-0.3032	0.228	-0.0082	1.355
2015-02-11	0.7187	-0.8944	-0.3458	1.355
2015-02-12	0.3708	-0.4966	0.0487	1.355
2015-02-13	0.3457	-0.0833	-0.2166	1.355
2015-02-24	1.0554	-0.0856	-0.3688	1.355
2015-02-25	0.7222	0.10099999999999999	-0.4529	1.355
2015-02-26	-0.8028	1.0029	0.7086	1.355
2015-03-02	-0.2245	0.3362	-0.1145	1.355
2015-03-03	0.046	0.1817	-0.2293	1.355
2015-03-04	0.1521	-0.0241	-0.0069	1.355
2015-03-05	-0.2908	0.6977	0.3187	1.355
2015-03-06	0.534	-0.0634	0.055	1.355
2015-03-09	-0.8662	0.8013	0.4399	1.355
2015-03-10	-0.2806	-0.0925	0.20600000000000002	1.355
2015-03-11	-0.1467	-0.1148	-0.3781	1.355
2015-03-12	0.768	-0.3312	-0.0798	1.355
2015-03-13	-0.1877	0.5394	-0.3703	1.355
2015-03-16	-0.7119	0.9172	0.3122	1.355
2015-03-17	0.2737	-0.3389	-0.359	1.355
2015-03-18	1.1879	-0.7795	-0.3752	1.355
2015-03-19	0.8659	-0.1688	-0.0373	1.355
2015-03-20	0.1245	0.1884	-0.51	1.355
2015-03-23	0.0852	-0.3858	0.5125	1.355
2015-03-24	-0.2793	0.147	0.1398	1.355
2015-03-25	-0.6512	0.1839	-0.0862	1.355
2015-03-26	-0.5096	0.3986	0.3654	1.355
2015-03-27	-1.218	0.9881	0.5017	1.355
2015-03-30	0.1992	-1.0161	-0.1161	1.355
2015-03-31	0.6849	-0.2851	-0.3135	1.355
2015-04-01	-0.8386	0.5095	0.0352	1.355
2015-04-02	0.9724	-0.2893	-0.3335	1.355
2015-04-07	0.4207	0.4429	-0.2638	1.355
2015-04-08	-0.7436	0.5244	0.3608	1.355
2015-04-09	-0.0323	-0.0746	0.21600000000000003	1.355
2015-04-10	0.5172	-0.4853	-0.381	1.355
2015-04-13	0.5118	-0.0815	-0.3976	1.355
2015-04-14	-0.2531	0.691	0.2112	1.355
2015-04-15	-1.0663	0.7312	-0.1979	1.355
2015-04-16	1.228	-1.0018	-0.3356	1.355
2015-04-17	-0.9011	0.6478	0.5247	1.355
2015-04-20	-0.1798	-0.4461	-0.3056	1.355
2015-04-21	-0.2013	-1.3174	0.1615	1.355
2015-04-22	0.8128	-0.1292	-0.5949	1.355
2015-04-23	1.922	-1.2256	0.2759	1.355
2015-04-24	1.1737	-0.8215	-0.4466	1.355
2015-04-27	0.5971	-0.4631	0.4444	1.355
2015-04-28	-0.1769	0.0397	0.2318	1.355
2015-04-29	-1.0686	0.8535	0.0728	1.355
2015-04-30	-0.3672	0.6401	0.4502	1.355
2015-05-04	0.2648	-0.9502	-0.0791	1.355
2015-05-05	-0.2702	-0.1662	-0.2846	1.355
2015-05-06	-0.0208	0.4771	-0.0304	1.355
2015-05-07	-1.159	0.2461	0.2161	1.355
2015-05-08	-0.1239	-0.5654	-0.0296	1.355
2015-05-11	-0.3037	-1.9541	-0.6498	1.355
2015-05-12	0.1835	0.0936	0.0457	1.355
2015-05-13	0.4475	0.0929	0.2095	1.355
2015-05-14	-1.17	0.7578	-0.1701	1.355
2015-05-15	-0.3265	-0.4321	0.1689	1.355
2015-05-18	0.2765	-1.2638	-0.2931	1.355
2015-05-19	1.1421	-0.5819	0.4103	1.355
2015-05-20	-0.3304	0.4978	0.0659	1.355
2015-05-21	-1.1179999999999999	0.3351	0.042	1.355
2015-05-22	0.645	-0.2815	-0.3725	1.355
2015-05-25	0.0609	-0.4157	0.0597	1.355
2015-05-26	0.2482	-0.3479	0.0352	1.355
2015-05-27	0.2345	0.0039	0.2366	1.355
2015-05-28	0.1873	0.6304	-0.2857	1.355
2015-05-29	-0.125	0.2211	-0.2643	1.355
2015-06-01	-0.7956	1.0851	-0.2119	1.355
2015-06-02	-0.1154	0.2319	0.1499	1.355
2015-06-03	-0.6049	-0.3519	0.0738	1.355
2015-06-04	-2.1819	-0.233	0.1692	1.355
