CO_ID	CoName	Date	ROI
1218   	Taisun Enterprise	2010/01/04	   0.3831
1218   	Taisun Enterprise	2010/01/05	   3.8168
1218   	Taisun Enterprise	2010/01/06	   0.3676
1218   	Taisun Enterprise	2010/01/07	   0.7326
1218   	Taisun Enterprise	2010/01/08	  -0.3636
1218   	Taisun Enterprise	2010/01/11	   1.4599
1218   	Taisun Enterprise	2010/01/12	  -2.5180
1218   	Taisun Enterprise	2010/01/13	   0.0000
1218   	Taisun Enterprise	2010/01/14	  -0.3690
1218   	Taisun Enterprise	2010/01/15	  -1.4815
1218   	Taisun Enterprise	2010/01/18	   0.3759
1218   	Taisun Enterprise	2010/01/19	  -1.1236
1218   	Taisun Enterprise	2010/01/20	  -0.7576
1218   	Taisun Enterprise	2010/01/21	  -0.3817
1218   	Taisun Enterprise	2010/01/22	  -2.6820
1218   	Taisun Enterprise	2010/01/25	  -2.3622
1218   	Taisun Enterprise	2010/01/26	  -6.0484
1218   	Taisun Enterprise	2010/01/27	   0.4292
1218   	Taisun Enterprise	2010/01/28	   2.5641
1218   	Taisun Enterprise	2010/01/29	  -1.2500
1218   	Taisun Enterprise	2010/02/01	   0.0000
1218   	Taisun Enterprise	2010/02/02	  -3.7975
1218   	Taisun Enterprise	2010/02/03	   1.3158
1218   	Taisun Enterprise	2010/02/04	   0.4329
1218   	Taisun Enterprise	2010/02/05	  -6.0345
1218   	Taisun Enterprise	2010/02/06	  -4.5872
1218   	Taisun Enterprise	2010/02/08	   0.9615
1218   	Taisun Enterprise	2010/02/09	   4.7619
1218   	Taisun Enterprise	2010/02/10	   0.4545
1218   	Taisun Enterprise	2010/02/22	   0.9050
1218   	Taisun Enterprise	2010/02/23	   2.2422
1218   	Taisun Enterprise	2010/02/24	  -1.3158
1218   	Taisun Enterprise	2010/02/25	  -0.8889
1218   	Taisun Enterprise	2010/02/26	   3.1390
1218   	Taisun Enterprise	2010/03/01	   4.7826
1218   	Taisun Enterprise	2010/03/02	  -1.6598
1218   	Taisun Enterprise	2010/03/03	   0.4219
1218   	Taisun Enterprise	2010/03/04	   0.0000
1218   	Taisun Enterprise	2010/03/05	   0.8403
1218   	Taisun Enterprise	2010/03/08	   0.0000
1218   	Taisun Enterprise	2010/03/09	  -0.8333
1218   	Taisun Enterprise	2010/03/10	   0.0000
1218   	Taisun Enterprise	2010/03/11	   0.4202
1218   	Taisun Enterprise	2010/03/12	   1.2552
1218   	Taisun Enterprise	2010/03/15	   0.0000
1218   	Taisun Enterprise	2010/03/16	   0.4132
1218   	Taisun Enterprise	2010/03/17	   0.8230
1218   	Taisun Enterprise	2010/03/18	   1.2245
1218   	Taisun Enterprise	2010/03/19	   1.6129
1218   	Taisun Enterprise	2010/03/22	   2.7778
1218   	Taisun Enterprise	2010/03/23	  -1.5444
1218   	Taisun Enterprise	2010/03/24	  -1.1765
1218   	Taisun Enterprise	2010/03/25	   1.1905
1218   	Taisun Enterprise	2010/03/26	  -1.1765
1218   	Taisun Enterprise	2010/03/29	   3.1746
1218   	Taisun Enterprise	2010/03/30	  -1.5385
1218   	Taisun Enterprise	2010/03/31	   0.0000
1218   	Taisun Enterprise	2010/04/01	   0.3906
1218   	Taisun Enterprise	2010/04/02	  -0.3891
1218   	Taisun Enterprise	2010/04/06	   0.7813
1218   	Taisun Enterprise	2010/04/07	   0.0000
1218   	Taisun Enterprise	2010/04/08	  -1.1628
1218   	Taisun Enterprise	2010/04/09	   0.3922
1218   	Taisun Enterprise	2010/04/12	   1.1719
1218   	Taisun Enterprise	2010/04/13	  -1.1583
1218   	Taisun Enterprise	2010/04/14	   0.7813
1218   	Taisun Enterprise	2010/04/15	   2.7132
1218   	Taisun Enterprise	2010/04/16	  -0.3774
1218   	Taisun Enterprise	2010/04/19	  -4.9242
1218   	Taisun Enterprise	2010/04/20	  -0.3984
1218   	Taisun Enterprise	2010/04/21	   1.2000
1218   	Taisun Enterprise	2010/04/22	  -1.1858
1218   	Taisun Enterprise	2010/04/23	  -0.4000
1218   	Taisun Enterprise	2010/04/26	   1.2048
1218   	Taisun Enterprise	2010/04/27	   0.0000
1218   	Taisun Enterprise	2010/04/28	   0.7937
1218   	Taisun Enterprise	2010/04/29	   0.7874
1218   	Taisun Enterprise	2010/04/30	   0.0000
1218   	Taisun Enterprise	2010/05/03	  -1.1719
1218   	Taisun Enterprise	2010/05/04	  -1.1858
1218   	Taisun Enterprise	2010/05/05	  -4.8000
1218   	Taisun Enterprise	2010/05/06	  -2.1008
1218   	Taisun Enterprise	2010/05/07	  -1.7167
1218   	Taisun Enterprise	2010/05/10	   3.0568
1218   	Taisun Enterprise	2010/05/11	  -0.4237
1218   	Taisun Enterprise	2010/05/12	  -0.8511
1218   	Taisun Enterprise	2010/05/13	   2.1459
1218   	Taisun Enterprise	2010/05/14	   0.0000
1218   	Taisun Enterprise	2010/05/17	  -2.1008
1218   	Taisun Enterprise	2010/05/18	   0.4292
1218   	Taisun Enterprise	2010/05/19	   0.8547
1218   	Taisun Enterprise	2010/05/20	   0.4237
1218   	Taisun Enterprise	2010/05/21	  -3.7975
1218   	Taisun Enterprise	2010/05/24	   1.3158
1218   	Taisun Enterprise	2010/05/25	   6.9264
1218   	Taisun Enterprise	2010/05/26	   6.8826
1218   	Taisun Enterprise	2010/05/27	   0.7576
1218   	Taisun Enterprise	2010/05/28	  -2.2556
1218   	Taisun Enterprise	2010/05/31	   6.9231
1218   	Taisun Enterprise	2010/06/01	  -1.0791
1218   	Taisun Enterprise	2010/06/02	   5.4545
1218   	Taisun Enterprise	2010/06/03	   2.0690
1218   	Taisun Enterprise	2010/06/04	  -1.6892
1218   	Taisun Enterprise	2010/06/07	   0.0000
1218   	Taisun Enterprise	2010/06/08	   2.4055
1218   	Taisun Enterprise	2010/06/09	  -5.0336
1218   	Taisun Enterprise	2010/06/10	   0.3534
1218   	Taisun Enterprise	2010/06/11	  -1.4085
1218   	Taisun Enterprise	2010/06/14	   1.0714
1218   	Taisun Enterprise	2010/06/15	   1.4134
1218   	Taisun Enterprise	2010/06/17	  -1.3937
1218   	Taisun Enterprise	2010/06/18	   2.1201
1218   	Taisun Enterprise	2010/06/21	   6.9204
1218   	Taisun Enterprise	2010/06/22	   6.7961
1218   	Taisun Enterprise	2010/06/23	   0.0000
1218   	Taisun Enterprise	2010/06/24	   6.9697
1218   	Taisun Enterprise	2010/06/25	   0.0000
1218   	Taisun Enterprise	2010/06/28	  -1.6997
1218   	Taisun Enterprise	2010/06/29	  -4.0346
1218   	Taisun Enterprise	2010/06/30	   4.8048
1218   	Taisun Enterprise	2010/07/01	   0.0000
1218   	Taisun Enterprise	2010/07/02	  -3.1519
