DATE,DEXTAUS
2013-01-07,28.9900
2013-01-08,29.0300
2013-01-09,29.0000
2013-01-10,28.9300
2013-01-11,28.9300
2013-01-14,28.9500
2013-01-15,28.9500
2013-01-16,28.9800
2013-01-17,28.9600
2013-01-18,28.9700
2013-01-21,.
2013-01-22,28.9800
2013-01-23,29.0000
2013-01-24,29.0700
2013-01-25,29.3200
2013-01-28,29.5100
2013-01-29,29.4500
2013-01-30,29.5300
2013-01-31,29.5400
2013-02-01,29.5900
2013-02-04,29.6000
2013-02-05,29.5200
2013-02-06,29.5900
2013-02-07,29.6100
2013-02-08,29.7000
2013-02-11,29.7300
2013-02-12,29.7100
2013-02-13,29.7000
2013-02-14,29.6200
2013-02-15,29.6100
2013-02-18,.
2013-02-19,29.5200
2013-02-20,29.5500
2013-02-21,29.6600
2013-02-22,29.6400
2013-02-25,29.6500
2013-02-26,29.6800
2013-02-27,29.6600
2013-02-28,29.6700
2013-03-01,29.6600
2013-03-04,29.7000
2013-03-05,29.6300
2013-03-06,29.6400
2013-03-07,29.6300
2013-03-08,29.6800
2013-03-11,29.6900
2013-03-12,29.6700
2013-03-13,29.7000
2013-03-14,29.7200
2013-03-15,29.7200
2013-03-18,29.7500
2013-03-19,29.7600
2013-03-20,29.7700
2013-03-21,29.8000
2013-03-22,29.8700
2013-03-25,29.8600
2013-03-26,29.8300
2013-03-27,29.8800
2013-03-28,29.8700
2013-03-29,29.8100
2013-04-01,29.8600
2013-04-02,29.8700
2013-04-03,29.8600
2013-04-04,29.9300
2013-04-05,29.9500
2013-04-08,30.0600
2013-04-09,30.0100
2013-04-10,29.9600
2013-04-11,29.9100
2013-04-12,29.9500
2013-04-15,29.9000
2013-04-16,29.8500
2013-04-17,29.8800
2013-04-18,29.8600
2013-04-19,29.7700
2013-04-22,29.8100
2013-04-23,29.7900
2013-04-24,29.7600
2013-04-25,29.6400
2013-04-26,29.5900
2013-04-29,29.4600
2013-04-30,29.5200
2013-05-01,29.5000
2013-05-02,29.5500
2013-05-03,29.5300
2013-05-06,29.5600
2013-05-07,29.5200
2013-05-08,29.3100
2013-05-09,29.4200
2013-05-10,29.7000
2013-05-13,29.8700
2013-05-14,29.8800
2013-05-15,29.9600
2013-05-16,29.9600
2013-05-17,30.0100
2013-05-20,29.9000
2013-05-21,29.8200
2013-05-22,29.9200
2013-05-23,29.9000
2013-05-24,29.9200
