台　泥 (1101) 	10:14:55 	37.85 	－－ 	－－ 	2,187 	37.95 	37.70 	0.25 	加入
亞　泥 (1102) 	10:14:53 	30.25 	-0.15 	-0.49% 	2,012 	30.60 	30.10 	0.50 	加入
統　一 (1216) 	10:14:54 	68.00 	-0.70 	-1.02% 	862 	68.50 	67.80 	0.70 	加入
台　塑 (1301) 	10:14:58 	101.50 	-0.50 	-0.49% 	559 	102.00 	101.00 	1.00 	加入
南　亞 (1303) 	10:14:58 	81.30 	-0.70 	-0.85% 	1,322 	82.00 	81.30 	0.70 	加入
台　化 (1326) 	10:14:49 	108.00 	-1.00 	-0.92% 	921 	109.00 	108.00 	1.00 	加入
遠東新 (1402) 	10:14:51 	27.10 	-0.20 	-0.73% 	4,281 	27.60 	27.10 	0.50 	加入
中　鋼 (2002) 	10:14:36 	25.10 	－－ 	－－ 	2,368 	25.15 	25.05 	0.10 	加入
正　新 (2105) 	10:14:50 	51.60 	－－ 	－－ 	784 	51.80 	51.50 	0.30 	加入
和泰車 (2207) 	10:13:37 	350.00 	-3.00 	-0.85% 	28 	352.00 	349.50 	2.50 	加入
裕日車 (2227) 	10:11:40 	265.50 	－－ 	－－ 	19 	266.50 	265.50 	1.00 	加入
光寶科 (2301) 	10:13:15 	40.20 	－－ 	－－ 	239 	40.25 	40.05 	0.20 	加入
聯　電 (2303) 	10:14:55 	14.20 	-0.10 	-0.70% 	10,897 	14.30 	14.15 	0.15 	加入
台達電 (2308) 	10:14:54 	137.50 	+0.50 	+0.36% 	1,169 	138.00 	137.00 	1.00 	加入
日月光 (2311) 	10:14:54 	39.90 	-0.35 	-0.87% 	3,325 	40.20 	39.85 	0.35 	加入
鴻　海 (2317) 	10:14:51 	93.40 	+0.10 	+0.11% 	15,763 	93.70 	93.10 	0.60 	加入
矽　品 (2325) 	10:14:55 	50.20 	-0.10 	-0.20% 	648 	50.30 	50.10 	0.20 	加入
台積電 (2330) 	10:14:58 	239.00 	-1.00 	-0.42% 	4,782 	240.00 	238.00 	2.00 	加入
佳世達 (2352) 	10:14:57 	21.35 	+0.20 	+0.95% 	2,035 	21.35 	21.10 	0.25 	加入
鴻　準 (2354) 	10:14:34 	86.70 	+0.50 	+0.58% 	1,095 	86.70 	86.20 	0.50 	加入
華　碩 (2357) 	10:13:55 	270.00 	+2.00 	+0.75% 	451 	270.50 	266.00 	4.50 	加入
廣　達 (2382) 	10:14:54 	62.70 	-0.10 	-0.16% 	951 	62.90 	62.50 	0.40 	加入
研　華 (2395) 	10:11:39 	232.50 	-1.00 	-0.43% 	161 	233.50 	230.50 	3.00 	加入
南亞科 (2408) 	10:14:55 	84.20 	+0.80 	+0.96% 	8,989 	85.20 	83.20 	2.00 	加入
