Date	Open	High	Low	Close	Volume
2011-01-03	 9039.63	 9041.32	 8994.50	9025.3	6668624
2011-01-04	 9045.11	 9046.18	 8988.58	8997.19	7000414
2011-01-05	 9014.32	 9027.16	 8812.36	8846.31	7666161
2011-01-06	 8866.23	 8883.21	 8813.63	8883.21	5882916
2011-01-07	 8905.25	 8907.11	 8738.93	8782.72	6301315
2011-01-10	 8798.05	 8817.88	 8762.50	8817.88	4240619
2011-01-11	 8810.77	 8935.27	 8794.77	8931.36	5152771
2011-01-12	 8992.01	 9000.78	 8955.47	8965.0	5604573
2011-01-13	 9034.17	 9034.17	 8948.23	8975.58	5632000
2011-01-14	 8985.34	 8998.14	 8937.50	8972.51	4141531
2011-01-17	 8998.89	 9006.36	 8921.19	8925.09	5099018
2011-01-18	 8889.84	 9003.45	 8887.03	8988.0	5269035
2011-01-19	 9023.30	 9092.28	 9005.77	9086.02	5587861
2011-01-20	 9059.80	 9063.52	 9017.80	9022.17	4516673
2011-01-21	 8935.29	 8980.54	 8892.27	8954.38	4591419
2011-01-24	 8983.59	 8993.56	 8927.49	8947.79	3914740
2011-01-25	 9001.74	 9032.30	 8991.39	8991.39	4347751
2011-01-26	 9010.41	 9072.76	 9009.18	9055.59	4745714
2011-01-27	 9093.54	 9126.93	 9092.97	9102.33	4911766
2011-01-28	 9122.16	 9154.93	 9095.71	9145.35	4901183
2011-02-08	 9220.69	 9220.69	 9085.41	9111.46	5329466
2011-02-09	 9107.96	 9129.88	 8992.64	9006.82	5111081
2011-02-10	 8962.07	 8979.35	 8836.56	8836.56	5253941
2011-02-11	 8842.41	 8842.41	 8574.65	8609.86	6427352
2011-02-14	 8666.61	 8715.97	 8626.66	8685.47	4426847
2011-02-15	 8679.12	 8753.05	 8565.05	8721.93	4732315
2011-02-16	 8740.32	 8767.09	 8702.81	8712.96	4453966
2011-02-17	 8738.71	 8745.65	 8669.77	8683.88	4584619
2011-02-18	 8763.69	 8874.50	 8763.69	8843.84	4949054
2011-02-21	 8867.16	 8867.16	 8797.25	8839.22	4238360
2011-02-22	 8744.81	 8744.81	 8613.34	8673.67	5465912
2011-02-23	 8604.32	 8673.20	 8521.25	8528.94	4938131
2011-02-24	 8561.16	 8633.24	 8541.64	8541.64	4113972
2011-02-25	 8597.87	 8635.04	 8470.09	8599.65	5494485
2011-03-01	 8611.79	 8734.24	 8611.79	8727.56	4328209
2011-03-02	 8675.37	 8709.57	 8619.90	8619.9	4171061
2011-03-03	 8661.63	 8758.89	 8661.63	8738.37	4732888
2011-03-04	 8815.52	 8829.23	 8771.89	8784.4	4787283
2011-03-07	 8769.87	 8769.87	 8706.38	8713.79	3691505
2011-03-08	 8692.10	 8768.31	 8692.10	8747.75	3971494
2011-03-09	 8810.35	 8824.41	 8730.74	8750.02	4411628
2011-03-10	 8754.41	 8754.41	 8635.75	8642.9	4426047
2011-03-11	 8566.91	 8593.71	 8513.51	8567.82	4024242
2011-03-14	 8616.29	 8616.29	 8395.11	8520.02	5092537
2011-03-15	 8493.83	 8519.90	 8070.52	8234.78	7200363
2011-03-16	 8317.38	 8372.02	 8257.08	8324.58	5048667
2011-03-17	 8190.50	 8282.69	 8150.73	8282.69	4710714
2011-03-18	 8343.79	 8399.17	 8312.88	8394.75	4629019
2011-03-21	 8421.66	 8508.20	 8394.22	8467.71	3744774
2011-03-22	 8523.27	 8552.82	 8508.04	8508.04	4221597
2011-03-23	 8529.93	 8551.12	 8481.96	8545.08	3791637
2011-03-24	 8589.71	 8603.43	 8550.60	8576.4	3785260
2011-03-25	 8645.37	 8658.05	 8587.84	8610.39	3846329
2011-03-28	 8587.99	 8604.24	 8549.26	8553.06	3023490
2011-03-29	 8538.44	 8596.57	 8522.57	8596.57	3427374
2011-03-30	 8605.83	 8671.59	 8605.83	8646.31	3867230
2011-03-31	 8683.69	 8685.44	 8608.05	8683.3	3751858
2011-04-01	 8697.84	 8705.13	 8654.40	8705.13	3186692
2011-04-06	 8772.13	 8860.02	 8767.21	8851.98	4464196
2011-04-07	 8884.84	 8901.72	 8828.92	8901.72	4041900
2011-04-08	 8904.44	 8929.06	 8862.49	8894.54	4627855
2011-04-11	 8922.75	 8922.75	 8836.38	8880.27	3774171
2011-04-12	 8839.22	 8839.22	 8708.86	8732.59	3715733
2011-04-13	 8727.95	 8780.20	 8700.08	8780.2	3406888
2011-04-14	 8787.75	 8835.39	 8772.30	8802.73	3623194
2011-04-15	 8828.63	 8834.07	 8716.70	8718.12	3830377
2011-04-18	 8752.56	 8764.65	 8703.11	8714.48	3445887
2011-04-19	 8643.40	 8658.97	 8592.23	8638.55	3615303
2011-04-20	 8704.48	 8813.28	 8698.97	8813.28	4195397
2011-04-21	 8893.07	 8992.08	 8892.06	8957.65	5492314
2011-04-22	 8980.43	 8992.67	 8956.07	8969.43	4172311
2011-04-25	 9015.91	 9037.09	 8950.75	8950.75	4087943
2011-04-26	 8894.01	 8966.86	 8866.74	8948.14	3804780
2011-04-27	 9012.28	 9060.50	 9012.28	9049.25	4700943
2011-04-28	 9088.97	 9099.75	 9021.36	9040.77	4665323
2011-04-29	 9050.49	 9058.78	 8943.99	9007.87	5044799
2011-05-03	 9014.33	 9018.70	 8895.25	8946.08	4249963
2011-05-04	 8937.30	 8947.35	 8864.55	8947.35	3785933
2011-05-05	 8930.24	 9029.58	 8907.97	9018.61	4247238
2011-05-06	 8997.73	 9018.40	 8954.81	8977.23	4229014
2011-05-09	 9001.80	 9081.26	 8984.43	9035.48	4401019
2011-05-10	 9048.25	 9055.91	 9007.93	9023.28	3468845
2011-05-11	 9073.88	 9082.01	 9014.36	9020.4	3588643
2011-05-12	 8977.77	 9052.98	 8963.24	9033.68	3765543
2011-05-13	 9039.55	 9059.46	 8986.18	9006.61	4039910
2011-05-16	 8996.70	 8996.70	 8911.71	8911.71	3449267
2011-05-17	 8917.25	 8928.99	 8854.14	8884.09	3624612
2011-05-18	 8885.40	 8946.99	 8885.40	8944.84	3331682
2011-05-19	 8952.25	 9026.18	 8888.21	8892.88	4153123
2011-05-20	 8944.38	 8944.38	 8822.75	8837.03	3709263
2011-05-23	 8767.30	 8776.46	 8695.34	8747.51	3522733
2011-05-24	 8730.23	 8756.90	 8673.38	8756.61	3534227
2011-05-25	 8732.30	 8763.64	 8682.49	8727.09	3321141
2011-05-26	 8797.29	 8807.08	 8751.52	8788.4	3144913
2011-05-27	 8806.29	 8860.03	 8803.59	8810.0	3385743
2011-05-30	 8757.66	 8844.03	 8748.13	8823.68	3088034
2011-05-31	 8860.58	 9003.60	 8860.58	8988.84	4476501
2011-06-01	 8999.84	 9089.47	 8999.84	9062.35	4248396
2011-06-02	 8981.71	 9036.27	 8977.67	8991.36	3561547
2011-06-03	 9024.54	 9052.18	 8997.35	9046.28	3110405
