Date	Open	High	Low	Close	Volume
2012-01-02	 7071.35	 7073.48	 6948.67	6952.21	2104640
2012-01-03	 7005.39	 7073.79	 7005.39	7053.38	2640781
2012-01-04	 7093.07	 7116.22	 7064.58	7082.97	2983756
2012-01-05	 7099.35	 7130.86	 7073.32	7130.86	3062757
2012-01-06	 7129.53	 7139.04	 7090.47	7120.51	3314147
2012-01-09	 7103.09	 7103.09	 7050.25	7093.04	2610433
2012-01-10	 7128.86	 7181.74	 7128.86	7178.87	3595611
2012-01-11	 7203.10	 7212.36	 7184.38	7188.21	3322390
2012-01-12	 7202.38	 7209.74	 7173.87	7186.58	2969248
2012-01-13	 7226.24	 7249.94	 7169.92	7181.54	3497838
2012-01-16	 7241.92	 7258.84	 7091.35	7103.62	3184795
2012-01-17	 7144.20	 7221.08	 7118.36	7221.08	3720277
2012-01-18	 7235.54	 7245.13	 7194.55	7233.69	4088756
2012-01-30	 7382.72	 7443.03	 7382.72	7407.41	4540373
2012-01-31	 7436.52	 7517.08	 7421.01	7517.08	5486734
2012-02-01	 7520.36	 7566.08	 7488.97	7549.21	5240029
2012-02-02	 7613.79	 7652.46	 7578.76	7652.46	5838832
2012-02-03	 7658.68	 7674.99	 7608.41	7674.99	5566192
2012-02-04	 7731.55	 7787.89	 7727.29	7741.24	6033706
2012-02-06	 7752.28	 7752.28	 7677.56	7687.98	4894592
2012-02-07	 7680.36	 7751.76	 7673.91	7707.44	4129624
2012-02-08	 7766.38	 7869.91	 7766.38	7869.91	5414117
2012-02-09	 7863.36	 7910.78	 7840.38	7910.78	5684162
2012-02-10	 7922.61	 7941.63	 7848.78	7862.27	5284009
2012-02-13	 7849.21	 7917.96	 7837.58	7912.91	4793564
2012-02-14	 7937.28	 7937.28	 7829.76	7884.08	4798956
2012-02-15	 7919.41	 8011.87	 7902.08	8005.24	5435734
2012-02-16	 7983.75	 8010.50	 7851.62	7869.7	6006254
2012-02-17	 7956.91	 8013.46	 7862.11	7894.36	5214276
2012-02-20	 7959.99	 7985.50	 7913.65	7954.82	3932197
2012-02-21	 7953.06	 7973.47	 7870.26	7921.5	4196049
2012-02-22	 7908.38	 8018.54	 7897.65	8001.68	4906340
2012-02-23	 7981.92	 7991.92	 7935.42	7937.3	4106230
2012-02-24	 7971.62	 7974.58	 7899.62	7959.34	3910061
2012-02-29	 8046.14	 8121.44	 8046.14	8121.44	4649991
2012-03-01	 8127.57	 8151.70	 8103.75	8118.34	4032373
2012-03-02	 8161.87	 8170.72	 8114.14	8144.04	4429674
2012-03-03	 8119.94	 8134.94	 8087.20	8114.44	3437220
2012-03-05	 8105.27	 8115.49	 7998.96	8004.74	4009491
2012-03-06	 8006.85	 8028.02	 7860.87	7937.97	4369742
2012-03-07	 7846.49	 7937.11	 7824.45	7903.08	3662536
2012-03-08	 7952.94	 8000.93	 7905.50	7984.56	3785528
2012-03-09	 8012.59	 8027.08	 7965.68	8016.01	3722467
2012-03-12	 8028.87	 8028.87	 7927.55	7927.55	3176525
2012-03-13	 7990.60	 8045.61	 7974.38	8031.51	3617552
2012-03-14	 8132.96	 8170.31	 8113.76	8125.26	4303980
2012-03-15	 8141.93	 8142.98	 8088.10	8121.62	3450339
2012-03-16	 8130.28	 8130.52	 8054.94	8054.94	3666705
2012-03-19	 8113.46	 8123.15	 7997.05	8043.92	2961464
2012-03-20	 8062.91	 8062.91	 7965.96	7972.7	2846949
2012-03-21	 7993.46	 8013.67	 7940.19	7981.94	3202170
2012-03-22	 7997.66	 8075.97	 7995.57	8059.94	3174305
2012-03-23	 8067.93	 8076.61	 8030.88	8076.61	2833264
2012-03-26	 8073.93	 8073.93	 7958.72	7967.62	3043554
2012-03-27	 8033.22	 8033.22	 7978.74	8029.46	2850161
2012-03-28	 8074.64	 8085.43	 8013.80	8038.07	2893376
2012-03-29	 7997.87	 7997.87	 7808.55	7872.66	4472745
2012-03-30	 7832.22	 7933.00	 7775.75	7933.0	3423989
2012-04-02	 7905.88	 7928.43	 7859.56	7862.9	2508765
2012-04-03	 7896.72	 7907.62	 7723.39	7760.85	3766300
2012-04-05	 7603.31	 7667.04	 7528.03	7639.82	3640534
2012-04-06	 7667.90	 7713.24	 7638.05	7706.26	2882430
2012-04-09	 7587.68	 7650.89	 7529.39	7600.87	2348029
2012-04-10	 7659.03	 7692.94	 7605.67	7640.68	2686833
2012-04-11	 7592.94	 7666.07	 7573.05	7656.67	2577603
2012-04-12	 7669.46	 7673.84	 7599.00	7662.92	2672344
2012-04-13	 7734.55	 7788.27	 7733.18	7788.27	3281999
2012-04-16	 7747.36	 7749.49	 7714.14	7729.86	2257907
2012-04-17	 7736.70	 7752.10	 7585.87	7585.87	3104226
2012-04-18	 7676.48	 7683.95	 7590.98	7605.0	2738230
2012-04-19	 7602.28	 7632.73	 7528.04	7622.69	2681357
2012-04-20	 7601.57	 7605.22	 7507.15	7507.15	2938289
2012-04-23	 7488.82	 7521.42	 7430.93	7481.09	2752197
2012-04-24	 7457.02	 7533.55	 7444.79	7498.84	2632894
2012-04-25	 7552.78	 7569.25	 7525.69	7563.18	2575613
2012-04-26	 7596.53	 7600.45	 7509.88	7521.35	2592877
2012-04-27	 7569.29	 7598.45	 7459.75	7480.5	3390901
2012-04-30	 7439.22	 7501.72	 7422.14	7501.72	2654987
2012-05-02	 7511.76	 7679.07	 7511.76	7676.81	4109319
2012-05-03	 7671.06	 7681.23	 7643.09	7659.53	2911898
2012-05-04	 7619.73	 7704.87	 7614.99	7700.95	3139981
2012-05-07	 7608.35	 7608.35	 7515.69	7538.08	2969700
2012-05-08	 7572.16	 7572.31	 7522.29	7545.71	2402528
2012-05-09	 7485.33	 7513.71	 7448.90	7475.71	2642333
2012-05-10	 7479.14	 7523.37	 7470.81	7484.01	2226059
2012-05-11	 7472.56	 7473.55	 7382.95	7401.37	2565050
2012-05-14	 7389.89	 7412.59	 7346.86	7377.18	1962613
2012-05-15	 7328.74	 7396.42	 7291.44	7395.64	2578188
2012-05-16	 7376.71	 7399.83	 7234.57	7234.57	3011881
2012-05-17	 7304.40	 7356.77	 7274.32	7356.77	2938855
2012-05-18	 7252.24	 7253.10	 7149.36	7151.19	3339351
2012-05-21	 7164.90	 7220.10	 7164.90	7192.23	2178582
2012-05-22	 7257.96	 7274.89	 7232.52	7274.89	2568726
2012-05-23	 7213.60	 7213.60	 7130.52	7147.75	2561486
